width=100.0 height=100.0 borderType=0
Nodes: 10
time, xpos, ypos
22.0, 12.509, 35.001
22.0, 24.02, 23.561
22.0, 40.858, 20.242
22.0, 37.585, 28.038
22.0, 33.389, 30.951
23.0, 18.844, 29.859
23.0, 15.601, 31.823
23.0, 20.929, 23.808
23.0, 30.298, 17.995
23.0, 29.323, 20.724
23.0, 14.434, 33.639
23.0, 25.066, 21.857
23.0, 42.338, 18.643
23.0, 36.43, 27.035
23.0, 31.42, 32.371
24.0, 17.753, 28.137
24.0, 17.373, 33.798
24.0, 19.153, 22.062
24.0, 31.595, 19.806
24.0, 30.969, 22.506
24.0, 15.45, 31.669
24.0, 23.685, 20.189
24.0, 40.391, 19.798
24.0, 38.014, 25.095
24.0, 30.029, 31.24
25.0, 15.909, 29.549
25.0, 18.378, 35.539
25.0, 21.064, 23.861
25.0, 33.159, 18.61
25.0, 29.039, 24.139
25.0, 17.411, 30.156
25.0, 25.615, 21.209
25.0, 39.076, 21.068
25.0, 39.068, 23.109
25.0, 31.265, 32.29
26.0, 14.705, 28.115
26.0, 16.781, 36.773
26.0, 19.982, 21.868
26.0, 31.767, 17.578
26.0, 27.215, 25.408
26.0, 18.924, 28.264
26.0, 27.298, 19.944
26.0, 40.591, 19.374
26.0, 37.594, 21.11
26.0, 29.538, 30.931
27.0, 12.97, 29.7
27.0, 18.047, 35.0
27.0, 21.785, 20.576
27.0, 33.563, 18.761
27.0, 28.495, 24.048
27.0, 17.802, 29.697
27.0, 28.881, 18.36
27.0, 42.521, 17.662
27.0, 36.063, 19.172
27.0, 28.257, 29.242
28.0, 14.16, 27.939
28.0, 16.375, 36.191
28.0, 20.36, 21.852
28.0, 31.813, 16.948
28.0, 30.359, 22.596
28.0, 18.819, 30.802
28.0, 30.117, 16.871
28.0, 41.418, 18.894
28.0, 34.777, 20.612
28.0, 26.816, 30.496
29.0, 12.431, 26.194
29.0, 14.955, 34.779
29.0, 22.305, 20.168
29.0, 33.176, 15.876
29.0, 28.987, 23.633
29.0, 16.923, 32.028
29.0, 31.928, 18.324
29.0, 42.959, 17.216
29.0, 33.684, 21.922
29.0, 25.182, 29.172
30.0, 10.62, 25.118
30.0, 16.83, 33.608
30.0, 23.399, 21.62
30.0, 32.069, 13.902
30.0, 27.388, 25.437
30.0, 18.077, 33.687
30.0, 30.718, 16.667
30.0, 41.163, 19.119
30.0, 34.812, 20.639
30.0, 26.399, 27.64
31.0, 11.942, 26.752
31.0, 18.337, 35.232
31.0, 24.934, 22.767
31.0, 31.021, 15.367
31.0, 28.709, 26.636
31.0, 16.212, 31.939
31.0, 32.522, 17.882
31.0, 39.876, 17.453
31.0, 33.691, 18.923
31.0, 27.875, 25.854
32.0, 13.697, 28.562
32.0, 20.016, 33.373
32.0, 23.712, 20.858
32.0, 29.748, 17.31
32.0, 26.899, 28.32
32.0, 14.275, 30.43
32.0, 31.193, 16.351
32.0, 38.341, 16.059
32.0, 32.609, 19.985
32.0, 29.414, 27.632
33.0, 15.211, 27.159
33.0, 21.095, 31.822
33.0, 22.467, 22.155
33.0, 31.695, 15.581
33.0, 28.337, 27.009
33.0, 15.411, 32.25
33.0, 29.471, 17.986
33.0, 36.587, 14.799
33.0, 33.723, 21.255
33.0, 30.802, 26.287
34.0, 13.554, 25.557
34.0, 19.843, 33.1
34.0, 24.193, 20.505
34.0, 29.997, 16.82
34.0, 29.542, 25.515
34.0, 13.478, 33.867
34.0, 30.474, 16.324
34.0, 37.591, 12.994
34.0, 35.33, 19.768
34.0, 32.212, 25.099
35.0, 15.186, 23.844
35.0, 17.951, 34.343
35.0, 22.616, 18.647
35.0, 28.731, 14.952
35.0, 28.305, 26.634
35.0, 14.826, 35.219
35.0, 31.96, 18.144
35.0, 38.921, 14.624
35.0, 36.721, 18.08
35.0, 33.39, 23.391
36.0, 13.342, 22.375
36.0, 19.826, 35.753
36.0, 21.418, 20.304
36.0, 27.117, 16.793
36.0, 26.718, 27.982
36.0, 16.072, 36.429
36.0, 30.05, 19.645
36.0, 40.509, 16.525
36.0, 35.058, 16.964
36.0, 34.8, 21.444
37.0, 12.24, 21.275
37.0, 21.01, 34.454
37.0, 20.0, 22.146
37.0, 25.181, 18.319
37.0, 28.617, 29.752
37.0, 14.304, 34.577
37.0, 31.334, 21.046
37.0, 38.611, 18.193
37.0, 33.308, 18.625
37.0, 33.512, 23.354
38.0, 13.508, 22.767
38.0, 19.809, 32.49
38.0, 21.254, 21.132
38.0, 23.922, 16.353
38.0, 26.874, 31.515
38.0, 16.146, 32.905
38.0, 29.797, 19.266
38.0, 36.698, 16.93
38.0, 32.276, 17.072
38.0, 35.097, 25.108
39.0, 11.826, 23.876
39.0, 18.774, 34.374
39.0, 19.948, 22.879
39.0, 22.35, 14.707
39.0, 28.578, 32.714
39.0, 18.112, 34.738
39.0, 31.067, 20.507
39.0, 35.347, 15.659
39.0, 33.859, 18.075
39.0, 36.386, 23.507
40.0, 12.985, 25.4
40.0, 20.612, 32.585
40.0, 18.106, 21.574
40.0, 24.036, 12.982
40.0, 27.049, 34.589
40.0, 19.813, 36.323
40.0, 32.248, 22.169
40.0, 36.818, 13.83
40.0, 35.21, 19.74
40.0, 38.052, 21.513
41.0, 14.638, 27.103
41.0, 21.915, 34.246
41.0, 16.198, 20.295
41.0, 25.291, 14.247
41.0, 28.952, 33.297
41.0, 21.384, 37.934
41.0, 34.235, 21.015
41.0, 35.369, 12.562
41.0, 37.157, 20.797
41.0, 40.004, 20.291
42.0, 16.516, 28.524
42.0, 20.143, 35.676
42.0, 15.19, 22.079
42.0, 23.636, 15.432
42.0, 30.622, 31.629
42.0, 20.081, 36.518
42.0, 36.136, 22.183
42.0, 37.199, 11.23
42.0, 38.506, 22.109
42.0, 38.885, 21.34
43.0, 17.984, 27.092
43.0, 18.487, 36.776
43.0, 13.996, 23.169
43.0, 25.294, 17.394
43.0, 32.186, 30.32
43.0, 21.691, 35.515
43.0, 34.154, 23.335
